Analiza distribuție CNP-uri în tabelul hash
Număr total bucketuri: 1000
Bucketuri goale: 0

Distribuție bucketuri:
897 elemente: 1 bucketuri
908 elemente: 1 bucketuri
921 elemente: 1 bucketuri
924 elemente: 1 bucketuri
925 elemente: 1 bucketuri
926 elemente: 3 bucketuri
928 elemente: 2 bucketuri
929 elemente: 2 bucketuri
930 elemente: 1 bucketuri
931 elemente: 2 bucketuri
933 elemente: 1 bucketuri
934 elemente: 1 bucketuri
935 elemente: 1 bucketuri
936 elemente: 1 bucketuri
937 elemente: 1 bucketuri
939 elemente: 1 bucketuri
940 elemente: 3 bucketuri
941 elemente: 4 bucketuri
942 elemente: 3 bucketuri
943 elemente: 2 bucketuri
944 elemente: 4 bucketuri
946 elemente: 3 bucketuri
947 elemente: 4 bucketuri
948 elemente: 4 bucketuri
949 elemente: 3 bucketuri
950 elemente: 3 bucketuri
951 elemente: 8 bucketuri
952 elemente: 2 bucketuri
953 elemente: 4 bucketuri
954 elemente: 6 bucketuri
955 elemente: 3 bucketuri
956 elemente: 8 bucketuri
957 elemente: 4 bucketuri
958 elemente: 6 bucketuri
959 elemente: 4 bucketuri
960 elemente: 7 bucketuri
961 elemente: 3 bucketuri
962 elemente: 7 bucketuri
963 elemente: 3 bucketuri
964 elemente: 12 bucketuri
965 elemente: 7 bucketuri
966 elemente: 8 bucketuri
967 elemente: 9 bucketuri
968 elemente: 8 bucketuri
969 elemente: 6 bucketuri
970 elemente: 5 bucketuri
971 elemente: 13 bucketuri
972 elemente: 12 bucketuri
973 elemente: 11 bucketuri
974 elemente: 8 bucketuri
975 elemente: 8 bucketuri
976 elemente: 13 bucketuri
977 elemente: 8 bucketuri
978 elemente: 5 bucketuri
979 elemente: 13 bucketuri
980 elemente: 8 bucketuri
981 elemente: 11 bucketuri
982 elemente: 11 bucketuri
983 elemente: 11 bucketuri
984 elemente: 9 bucketuri
985 elemente: 17 bucketuri
986 elemente: 14 bucketuri
987 elemente: 11 bucketuri
988 elemente: 10 bucketuri
989 elemente: 22 bucketuri
990 elemente: 12 bucketuri
991 elemente: 10 bucketuri
992 elemente: 12 bucketuri
993 elemente: 8 bucketuri
994 elemente: 16 bucketuri
995 elemente: 17 bucketuri
996 elemente: 12 bucketuri
997 elemente: 10 bucketuri
998 elemente: 14 bucketuri
999 elemente: 9 bucketuri
1000 elemente: 13 bucketuri
1001 elemente: 10 bucketuri
1002 elemente: 8 bucketuri
1003 elemente: 11 bucketuri
1004 elemente: 13 bucketuri
1005 elemente: 14 bucketuri
1006 elemente: 10 bucketuri
1007 elemente: 11 bucketuri
1008 elemente: 16 bucketuri
1009 elemente: 13 bucketuri
1010 elemente: 11 bucketuri
1011 elemente: 12 bucketuri
1012 elemente: 10 bucketuri
1013 elemente: 11 bucketuri
1014 elemente: 8 bucketuri
1015 elemente: 4 bucketuri
1016 elemente: 12 bucketuri
1017 elemente: 8 bucketuri
1018 elemente: 14 bucketuri
1019 elemente: 6 bucketuri
1020 elemente: 10 bucketuri
1021 elemente: 10 bucketuri
1022 elemente: 9 bucketuri
1023 elemente: 8 bucketuri
1024 elemente: 10 bucketuri
1025 elemente: 9 bucketuri
1026 elemente: 9 bucketuri
1027 elemente: 13 bucketuri
1028 elemente: 9 bucketuri
1029 elemente: 9 bucketuri
1030 elemente: 7 bucketuri
1031 elemente: 8 bucketuri
1032 elemente: 4 bucketuri
1033 elemente: 9 bucketuri
1034 elemente: 8 bucketuri
1035 elemente: 11 bucketuri
1036 elemente: 7 bucketuri
1037 elemente: 13 bucketuri
1038 elemente: 6 bucketuri
1039 elemente: 7 bucketuri
1040 elemente: 4 bucketuri
1041 elemente: 12 bucketuri
1042 elemente: 2 bucketuri
1044 elemente: 2 bucketuri
1045 elemente: 3 bucketuri
1046 elemente: 1 bucketuri
1047 elemente: 4 bucketuri
1048 elemente: 4 bucketuri
1049 elemente: 2 bucketuri
1050 elemente: 4 bucketuri
1051 elemente: 2 bucketuri
1052 elemente: 1 bucketuri
1053 elemente: 1 bucketuri
1054 elemente: 4 bucketuri
1055 elemente: 5 bucketuri
1056 elemente: 7 bucketuri
1057 elemente: 7 bucketuri
1058 elemente: 3 bucketuri
1060 elemente: 3 bucketuri
1062 elemente: 3 bucketuri
1063 elemente: 1 bucketuri
1064 elemente: 1 bucketuri
1065 elemente: 1 bucketuri
1066 elemente: 1 bucketuri
1068 elemente: 2 bucketuri
1069 elemente: 1 bucketuri
1070 elemente: 2 bucketuri
1071 elemente: 3 bucketuri
1074 elemente: 1 bucketuri
1076 elemente: 1 bucketuri
1077 elemente: 2 bucketuri
1078 elemente: 1 bucketuri
1080 elemente: 1 bucketuri
1081 elemente: 1 bucketuri
1082 elemente: 1 bucketuri
1084 elemente: 1 bucketuri
1089 elemente: 1 bucketuri
1092 elemente: 2 bucketuri
1093 elemente: 1 bucketuri
1103 elemente: 1 bucketuri

Statistici:
Minim elemente/bucket: 897
Maxim elemente/bucket: 1103
Medie elemente/bucket: 999.98
